File_name,Label,#,Label,#
assemblies_300dpi\challenge1\cuts\MP_00055
assemblies_300dpi\challenge1\cuts\MP_00056,A013,1
assemblies_300dpi\challenge1\cuts\MP_00058
assemblies_300dpi\challenge1\cuts\MP_00059
assemblies_300dpi\challenge1\cuts\MP_00060,A001,42
assemblies_300dpi\challenge1\cuts\MP_00061,A001,4
assemblies_300dpi\challenge1\cuts\MP_00062,A001,2
assemblies_300dpi\challenge1\cuts\MP_00063,A014,8
assemblies_300dpi\challenge1\cuts\MP_00065
assemblies_300dpi\challenge1\cuts\MP_00067
assemblies_300dpi\challenge1\cuts\MP_00068,A001,1
assemblies_300dpi\challenge1\cuts\MP_00070
assemblies_300dpi\challenge1\cuts\MP_00071
assemblies_300dpi\challenge1\cuts\MP_00072
assemblies_300dpi\challenge1\cuts\MP_00073
assemblies_300dpi\challenge1\cuts\MP_00074
assemblies_300dpi\challenge1\cuts\MP_00075,A013,18
assemblies_300dpi\challenge1\cuts\MP_00076
assemblies_300dpi\challenge1\cuts\MP_00077
assemblies_300dpi\challenge1\cuts\MP_00078
assemblies_300dpi\challenge1\cuts\MP_00079
assemblies_300dpi\challenge1\cuts\MP_00080,A014,12
assemblies_300dpi\challenge1\cuts\MP_00081,A008,2
assemblies_300dpi\challenge1\cuts\MP_00082,A001,42
assemblies_300dpi\challenge1\cuts\MP_00083
assemblies_300dpi\challenge1\cuts\MP_00084,A008,4
assemblies_300dpi\challenge1\cuts\MP_00085
assemblies_300dpi\challenge1\cuts\MP_00086
assemblies_300dpi\challenge1\cuts\MP_00087,A014,4
assemblies_300dpi\challenge1\cuts\MP_00088,A001,2
assemblies_300dpi\challenge1\cuts\MP_00089,A008,2
assemblies_300dpi\challenge1\cuts\MP_00090,A003,4
assemblies_300dpi\challenge1\cuts\MP_00091,A012,2
assemblies_300dpi\challenge1\cuts\MP_00092,A011,4
assemblies_300dpi\challenge1\cuts\MP_00093,A003,4
assemblies_300dpi\challenge1\cuts\MP_00094,A006,2
assemblies_300dpi\challenge1\cuts\MP_00095,A006,2
assemblies_300dpi\challenge1\cuts\MP_00096,A014,6
assemblies_300dpi\challenge1\cuts\MP_00097,A010,22
assemblies_300dpi\challenge1\cuts\MP_00098,A007,2
assemblies_300dpi\challenge1\cuts\MP_00099
assemblies_300dpi\challenge1\cuts\MP_00100,A011,2
assemblies_300dpi\challenge1\cuts\MP_00101,A014,1111
assemblies_300dpi\challenge1\cuts\MP_00102,A010,3
assemblies_300dpi\challenge1\cuts\MP_00103,A001,4
assemblies_300dpi\challenge1\cuts\MP_00104,A010,24
assemblies_300dpi\challenge1\cuts\MP_00105
assemblies_300dpi\challenge1\cuts\MP_00106
assemblies_300dpi\challenge1\cuts\MP_00107,A010,4
