File_name,Label,#,Label,#
assemblies_300dpi\challenge2\cuts\MA_00001
assemblies_300dpi\challenge2\cuts\MA_00069,A010,4
assemblies_300dpi\challenge2\cuts\MA_00071,A001,4
assemblies_300dpi\challenge2\cuts\MA_00072,A014,4
assemblies_300dpi\challenge2\cuts\MA_00074,A001,4
assemblies_300dpi\challenge2\cuts\MA_00075,A010,3
assemblies_300dpi\challenge2\cuts\MA_00076,A008,4
assemblies_300dpi\challenge2\cuts\MA_00077
assemblies_300dpi\challenge2\cuts\MA_00078,A014,12
assemblies_300dpi\challenge2\cuts\MA_00079,A010,8
assemblies_300dpi\challenge2\cuts\MA_00080
assemblies_300dpi\challenge2\cuts\MA_00081,A002,2
assemblies_300dpi\challenge2\cuts\MA_00082,A008,4
assemblies_300dpi\challenge2\cuts\MA_00083,A009,6
assemblies_300dpi\challenge2\cuts\MA_00084,A001,22
assemblies_300dpi\challenge2\cuts\MA_00085,A010,4
assemblies_300dpi\challenge2\cuts\MA_00086,A003,4
assemblies_300dpi\challenge2\cuts\MA_00087,A013,4
assemblies_300dpi\challenge2\cuts\MA_00088
assemblies_300dpi\challenge2\cuts\MA_00090,A010,5
assemblies_300dpi\challenge2\cuts\MA_00092,A001,3
assemblies_300dpi\challenge2\cuts\MA_00093
assemblies_300dpi\challenge2\cuts\MA_00094,A008,4
assemblies_300dpi\challenge2\cuts\MA_00095,A002,2
assemblies_300dpi\challenge2\cuts\MA_00096,A003,1
assemblies_300dpi\challenge2\cuts\MA_00099,A010,4
assemblies_300dpi\challenge2\cuts\MA_00101,A001,1
assemblies_300dpi\challenge2\cuts\MA_00102,A001,1
assemblies_300dpi\challenge2\cuts\MA_00103,A008,4
assemblies_300dpi\challenge2\cuts\MA_00104,A002,4
assemblies_300dpi\challenge2\cuts\MA_00106,A007,2
assemblies_300dpi\challenge2\cuts\MA_00109,A010,1
assemblies_300dpi\challenge2\cuts\MA_00110,A001,2
assemblies_300dpi\challenge2\cuts\MA_00112,A013,4
assemblies_300dpi\challenge2\cuts\MA_00113,A008,1
assemblies_300dpi\challenge2\cuts\MA_00114,A008,8
assemblies_300dpi\challenge2\cuts\MA_00115,A009,4
assemblies_300dpi\challenge2\cuts\MA_00116,A010,4
assemblies_300dpi\challenge2\cuts\MA_00118,A002,4
assemblies_300dpi\challenge2\cuts\MA_00119,A003,4
assemblies_300dpi\challenge2\cuts\MA_00121,A008,6
assemblies_300dpi\challenge2\cuts\MA_00122,A001,2
assemblies_300dpi\challenge2\cuts\MA_00123,A010,8
assemblies_300dpi\challenge2\cuts\MA_00124,A014,1
assemblies_300dpi\challenge2\cuts\MA_00125,A001,4
